Date,Day,Time (ET),Platform,Content Type,Title,Content Preview,Status,Source,Notes
2026-04-07,Tuesday,07:00,Twitter,thread,X Thread: The Correlation Problem,"1/ In 2022, stocks and bonds had a 95% correlation. So much for diversification. 🧵

2/ The data: $21 billion. This is not a blip — it's a structural s",scheduled,Video segment: The Correlation Problem,
2026-04-07,Tuesday,08:00,Linkedin,post,LinkedIn: The Correlation Problem,"In 2022, stocks and bonds had a 95% correlation. So much for diversification.

Let that sink in for a moment. Because the implications for how we cons",scheduled,Video segment: The Correlation Problem,
2026-04-07,Tuesday,09:00,Newsletter,feature,New: The Case for Multi-Strategy Hedge Fund Allocations in RIA Portfolios,We just published a new conversation between Itay and Tory on a topic we're hearing about every day: the case for multi-strategy hedge fund allocation,scheduled,Video transcript,
2026-04-07,Tuesday,10:00,Blog,article,The Case for Multi-Strategy Hedge Fund Allocations in RIA Portfolios,"# The Case for Multi-Strategy Hedge Fund Allocations in RIA Portfolios

*A conversation between Itay and Tory — Equi*

The alternatives landscape is a",scheduled,Video transcript,
2026-04-07,Tuesday,10:00,Email,teaser,New conversation: The Case for Multi-Strategy Hedge Fund Allocations in RIA Portfolios,We just published a new conversation between Itay and Tory on a topic we're hearing about every day: the case for multi-strategy hedge fund allocation,scheduled,Video transcript,
2026-04-08,Wednesday,10:00,Linkedin,post,LinkedIn: The Access Gap,"In 2022, stocks and bonds had a 95% correlation. So much for diversification.

Let that sink in for a moment. Because the implications for how we cons",scheduled,Video segment: The Access Gap,
2026-04-08,Wednesday,12:00,Twitter,thread,X Thread: The Access Gap,"1/ In 2022, stocks and bonds had a 95% correlation. So much for diversification. 🧵

2/ The data: $10 million. This is not a blip — it's a structural s",scheduled,Video segment: The Access Gap,
2026-04-09,Thursday,17:00,Twitter,thread,X Thread: Industry Momentum,"1/ In 2022, stocks and bonds had a 95% correlation. So much for diversification. 🧵

2/ The data: $21 billion. This is not a blip — it's a structural s",scheduled,Video segment: Industry Momentum,
2026-04-14,Tuesday,07:00,Twitter,quote_tweet,Quote: Itay,"""The key thing for advisors to understand is that the traditional 60/40 portfolio assumption — that stocks and bonds are negatively correlated — has f",scheduled,Video @ 00:00:42,
2026-04-14,Tuesday,10:00,Email,teaser,New conversation: The Case for Multi-Strategy Hedge Fund Allocations in RIA Portfolios,We just published a new conversation between Itay and Tory on a topic we're hearing about every day: the case for multi-strategy hedge fund allocation,scheduled,Video transcript,
2026-04-14,Tuesday,12:00,Linkedin,post,LinkedIn: Industry Momentum,"In 2022, stocks and bonds had a 95% correlation. So much for diversification.

Let that sink in for a moment. Because the implications for how we cons",scheduled,Video segment: Industry Momentum,
2026-04-15,Wednesday,08:00,Linkedin,post,LinkedIn: The Correlation Problem,"In 2022, stocks and bonds had a 95% correlation. So much for diversification.

Let that sink in for a moment. Because the implications for how we cons",scheduled,Video segment: The Correlation Problem,
2026-04-15,Wednesday,12:00,Twitter,quote_tweet,Quote: Tory,"""So what does that mean practically for an RIA managing, say, $3 to $5 billion for their clients?"" — Tory, Equi

@join_equi",scheduled,Video @ 00:02:05,
2026-04-16,Thursday,17:00,Twitter,quote_tweet,Quote: Tory,"""If this is so obvious, why are most RIAs allocating less than 5% to alternatives?"" — Tory, Equi

@join_equi",scheduled,Video @ 00:02:48,
2026-04-21,Tuesday,07:00,Twitter,quote_tweet,Quote: Itay,"""In 2022, the correlation between the S&P 500 and the Bloomberg Aggregate Bond Index hit 95%."" — Itay, Equi

@join_equi",scheduled,Video @ 00:01:24,
2026-04-21,Tuesday,09:00,Newsletter,feature,New: The Case for Multi-Strategy Hedge Fund Allocations in RIA Portfolios,We just published a new conversation between Itay and Tory on a topic we're hearing about every day: the case for multi-strategy hedge fund allocation,scheduled,Video transcript,
2026-04-21,Tuesday,10:00,Blog,article,The Case for Multi-Strategy Hedge Fund Allocations in RIA Portfolios,"# The Case for Multi-Strategy Hedge Fund Allocations in RIA Portfolios

*A conversation between Itay and Tory — Equi*

The alternatives landscape is a",scheduled,Video transcript,
2026-04-21,Tuesday,10:00,Email,teaser,New conversation: The Case for Multi-Strategy Hedge Fund Allocations in RIA Portfolios,We just published a new conversation between Itay and Tory on a topic we're hearing about every day: the case for multi-strategy hedge fund allocation,scheduled,Video transcript,
2026-04-21,Tuesday,10:00,Linkedin,post,LinkedIn: The Access Gap,"In 2022, stocks and bonds had a 95% correlation. So much for diversification.

Let that sink in for a moment. Because the implications for how we cons",scheduled,Video segment: The Access Gap,
2026-04-22,Wednesday,12:00,Linkedin,post,LinkedIn: Industry Momentum,"In 2022, stocks and bonds had a 95% correlation. So much for diversification.

Let that sink in for a moment. Because the implications for how we cons",scheduled,Video segment: Industry Momentum,
2026-04-22,Wednesday,12:00,Twitter,quote_tweet,Quote: Itay,"""And this wasn't a one-month anomaly — the rolling 12-month correlation stayed above 60% for most of 2023."" — Itay, Equi

@join_equi",scheduled,Video @ 00:01:24,
2026-04-23,Thursday,07:00,Twitter,thread,X Thread: The Correlation Problem,"1/ In 2022, stocks and bonds had a 95% correlation. So much for diversification. 🧵

2/ The data: $21 billion. This is not a blip — it's a structural s",scheduled,Video segment: The Correlation Problem,
